ticker,sector,industry
NTAP,Technology,Computer Hardware
PEP,Consumer Defensive,Beverages—Non-Alcoholic
FLR,Industrials,Engineering & Construction
NSP,Industrials,Staffing & Employment Services
IFF,Basic Materials,Specialty Chemicals
JNJ,Healthcare,Drug Manufacturers—General
KVUE,Consumer Defensive,Household & Personal Products
LBRDA,Communication Services,Telecom Services
MRK,Healthcare,Drug Manufacturers—General
MS,Financial Services,Capital Markets
PLD,Real Estate,REIT—Industrial
SEDG,Technology,Solar
TGT,Consumer Defensive,Discount Stores
TXN,Technology,Semiconductors
WTW,Financial Services,Insurance Brokers
D,Utilities,Utilities—Regulated Electric
LDOS,Technology,Information Technology Services
SAIC,Technology,Information Technology Services
ABBV,Healthcare,Drug Manufacturers—General
ABNB,Consumer Cyclical,Travel Services
ALL,Financial Services,Insurance—Property & Casualty
AMZN,Consumer Cyclical,Internet Retail
AAPL,Technology,Consumer Electronics
T,Communication Services,Telecom Services
CVX,Energy,Oil & Gas Integrated
CHRD,Energy,Oil & Gas E&P
ELF,Consumer Defensive,Household & Personal Products
XOM,Energy,Oil & Gas Integrated
GD,Industrials,Aerospace & Defense
JPM,Financial Services,Banks—Diversified
KMI,Energy,Oil & Gas Midstream
LNC,Financial Services,Insurance—Life
LOW,Consumer Cyclical,Home Improvement Retail
MCD,Consumer Cyclical,Restaurants
MDT,Healthcare,Medical Devices
MSFT,Technology,Software—Infrastructure
NEE,Utilities,Utilities—Regulated Electric
NVDA,Technology,Semiconductors
ORCL,Technology,Software—Infrastructure
PR,Energy,Oil & Gas E&P
SWX,Utilities,Utilities—Regulated Gas
TSLA,Consumer Cyclical,Auto Manufacturers
TSCO,Consumer Cyclical,Specialty Retail
UBER,Technology,Software—Application
VLO,Energy,Oil & Gas Refining & Marketing
WMT,Consumer Defensive,Discount Stores
WBD,Communication Services,Entertainment
SPG,Real Estate,REIT—Retail
AMD,Technology,Semiconductors
ADYEY,Technology,Software—Infrastructure
AAGIY,Financial Services,Insurance—Life
GOOGL,Communication Services,Internet Content & Information
AORT,Healthcare,Medical Devices
ASML,Technology,Semiconductor Equipment & Materials
ATLKY,Industrials,Specialty Industrial Machinery
AZTA,Healthcare,Medical Instruments & Supplies
SCHW,Financial Services,Capital Markets
GTLS,Industrials,Specialty Industrial Machinery
CTSH,Technology,Information Technology Services
DE,Industrials,Farm & Heavy Construction Machinery
EFX,Industrials,Consulting Services
FSLR,Technology,Solar
FCX,Basic Materials,Copper
GMAB,Healthcare,Biotechnology
HLN,Healthcare,Drug Manufacturers—Specialty & Generic
HCA,Healthcare,Medical Care Facilities
HLIO,Industrials,Specialty Industrial Machinery
HMN,Financial Services,Insurance—Property & Casualty
IFNNY,Technology,Semiconductors
KUBTY,Industrials,Farm & Heavy Construction Machinery
LAD,Consumer Cyclical,Auto & Truck Dealerships
MCK,Healthcare,Medical Distribution
MELI,Consumer Cyclical,Internet Retail
META,Communication Services,Internet Content & Information
PTEN,Energy,Oil & Gas Drilling
REGN,Healthcare,Biotechnology
SAP,Technology,Software—Application
SRPT,Healthcare,Biotechnology
SPOT,Communication Services,Internet Content & Information
SPXC,Industrials,Specialty Industrial Machinery
SBUX,Consumer Cyclical,Restaurants
AZN,Healthcare,Drug Manufacturers—General
ADP,Industrials,Staffing & Employment Services
CMG,Consumer Cyclical,Restaurants
COP,Energy,Oil & Gas E&P
NFLX,Communication Services,Entertainment
DOW,Basic Materials,Chemicals
ARCC,Financial Services,Asset Management
KD,Technology,Information Technology Services
FSEN,Financial Services,Asset Management
INRE,Real Estate,REIT—Diversified
CCL,Consumer Cyclical,Travel Services
CLF,Basic Materials,Steel
WBA,Healthcare,Pharmaceutical Retailers
VZ,Communication Services,Telecom Services
UAA,Consumer Cyclical,Apparel Manufacturing
MMM,Industrials,Conglomerates
PFE,Healthcare,Drug Manufacturers—General
KEY,Financial Services,Banks—Regional
FGBI,Financial Services,Banks—Regional
HUMA,Healthcare,Biotechnology
PG,Consumer Defensive,Household & Personal Products
ACN,Technology,Information Technology Services
MA,Financial Services,Credit Services
PDM,Real Estate,REIT—Office
TJX,Consumer Cyclical,Apparel Retail
BATRA,Communication Services,Entertainment
GE,Industrials,Specialty Industrial Machinery
GT,Consumer Cyclical,Auto Parts
AMKBY,Industrials,Marine Shipping
AAVMY,Financial Services,Banks—Diversified
AHEXY,Industrials,Staffing & Employment Services
ADDYY,Consumer Cyclical,Footwear & Accessories
AAP,Consumer Cyclical,Specialty Retail
ATEYY,Technology,Semiconductor Equipment & Materials
AEG,Financial Services,Insurance—Diversified
ANYYY,Industrials,Airports & Air Services
AONNY,Consumer Cyclical,Department Stores
ADC,Real Estate,REIT—Retail
EADSY,Industrials,Aerospace & Defense
AJINY,Consumer Defensive,Packaged Foods
AKZOY,Basic Materials,Specialty Chemicals
ALC,Healthcare,Medical Instruments & Supplies
ALEX,Real Estate,REIT—Retail
ARE,Real Estate,REIT—Office
ALFVY,Industrials,Specialty Industrial Machinery
ALLE,Industrials,Security & Protection Services
ALIZY,Financial Services,Insurance—Diversified
AYX,Technology,Software—Application
ATUS,Communication Services,Telecom Services
MO,Consumer Defensive,Tobacco
AMADY,Consumer Cyclical,Travel Services
AMCX,Communication Services,Entertainment
AMCR,Consumer Cyclical,Packaging & Containers
AMT,Real Estate,REIT—Specialty
NGLOY,Basic Materials,Other Industrial Metals & Mining
BUD,Consumer Defensive,Beverages—Brewers
AON,Financial Services,Insurance Brokers
APTV,Consumer Cyclical,Auto Parts
ADM,Consumer Defensive,Farm Products
ARGX,Healthcare,Biotechnology
ANET,Technology,Computer Hardware
ARKAY,Basic Materials,Specialty Chemicals
AHKSY,Basic Materials,Chemicals
ASHTY,Industrials,Rental & Leasing Services
ASAZY,Industrials,Security & Protection Services
ALPMY,Healthcare,Drug Manufacturers—General
TEAM,Technology,Software—Application
AVB,Real Estate,REIT—Residential
AVTR,Basic Materials,Specialty Chemicals
AVVIY,Financial Services,Insurance—Diversified
AXAHY,Financial Services,Insurance—Diversified
BMRRY,Consumer Defensive,Discount Stores
BAESY,Industrials,Aerospace & Defense
BBVA,Financial Services,Banks—Diversified
SAN,Financial Services,Banks—Diversified
BCS,Financial Services,Banks—Diversified
BAYRY,Healthcare,Drug Manufacturers—General
BDRFY,Consumer Defensive,Household & Personal Products
BGNE,Healthcare,Biotechnology
BELFB,Technology,Electronic Components
BNPQY,Financial Services,Banks—Regional
BDNNY,Basic Materials,Other Industrial Metals & Mining
BXP,Real Estate,REIT—Office
BXBLY,Industrials,Specialty Business Services
BNTGY,Basic Materials,Specialty Chemicals
BRDCY,Consumer Cyclical,Auto Parts
BMY,Healthcare,Drug Manufacturers—General
BTI,Consumer Defensive,Tobacco
BTLCY,Real Estate,REIT—Diversified
BEPC,Utilities,Utilities—Renewable
BURBY,Consumer Cyclical,Luxury Goods
BVVBY,Industrials,Consulting Services
CADE,Financial Services,Banks—Regional
CGEMY,Technology,Information Technology Services
CCOEY,Communication Services,Electronic Gaming & Multimedia
CTRE,Real Estate,REIT—Healthcare Facilities
CZMWY,Healthcare,Medical Instruments & Supplies
CLLNY,Real Estate,Real Estate Services
CNC,Healthcare,Healthcare Plans
CJPRY,Industrials,Railroads
CHX,Energy,Oil & Gas Equipment & Services
CHPT,Consumer Cyclical,Specialty Retail
CB,Financial Services,Insurance—Property & Casualty
CHGCY,Healthcare,Drug Manufacturers—General
CIEN,Technology,Communication Equipment
CFG,Financial Services,Banks—Regional
CLVT,Technology,Information Technology Services
KO,Consumer Defensive,Beverages—Non-Alcoholic
CHEOY,Healthcare,Medical Devices
COIN,Financial Services,Financial Data & Stock Exchanges
CLPBY,Healthcare,Medical Instruments & Supplies
CRZBY,Financial Services,Banks—Regional
CMWAY,Financial Services,Banks—Diversified
CBU,Financial Services,Banks—Regional
CODYY,Industrials,Building Products & Equipment
CMPGY,Consumer Cyclical,Restaurants
CMSQY,Financial Services,Capital Markets
CAG,Consumer Defensive,Packaged Foods
CRARY,Financial Services,Banks—Regional
CRH,Basic Materials,Building Materials
CCI,Real Estate,REIT—Specialty
CSLLY,Healthcare,Biotechnology
CUBE,Real Estate,REIT—Industrial
DNPLY,Industrials,Specialty Business Services
DFKCY,Industrials,Specialty Industrial Machinery
DLICY,Financial Services,Insurance—Life
DSNKY,Healthcare,Drug Manufacturers—General
DKILY,Industrials,Building Products & Equipment
DTRUY,Industrials,Farm & Heavy Construction Machinery
DWAHY,Real Estate,Real Estate—Development
DANOY,Consumer Defensive,Packaged Foods
DAR,Consumer Defensive,Packaged Foods
DASTY,Technology,Software—Application
DBSDY,Financial Services,Banks—Regional
DNZOY,Consumer Cyclical,Auto Parts
DNTUY,Communication Services,Advertising Agencies
DB,Financial Services,Banks—Regional
DBOEY,Financial Services,Financial Data & Stock Exchanges
DTEGY,Communication Services,Telecom Services
DEO,Consumer Defensive,Beverages—Wineries & Distilleries
DRH,Real Estate,REIT—Hotel & Motel
DSCSY,Technology,Semiconductor Equipment & Materials
DISH,Communication Services,Telecom Services
DNBBY,Financial Services,Banks—Regional
DG,Consumer Defensive,Discount Stores
DLTR,Consumer Defensive,Discount Stores
DQJCY,Consumer Defensive,Discount Stores
DRPRY,,
DSDVY,Industrials,Integrated Freight & Logistics
EIX,Utilities,Utilities—Regulated Electric
ENTA,Healthcare,Biotechnology
ENLAY,Utilities,Utilities—Diversified
EDPFY,Utilities,Utilities—Diversified
ENGIY,Utilities,Utilities—Diversified
EPAM,Technology,Information Technology Services
EPOKY,Industrials,Farm & Heavy Construction Machinery
EPR,Real Estate,REIT—Specialty
EQIX,Real Estate,REIT—Specialty
EQR,Real Estate,REIT—Residential
ERIC,Technology,Communication Equipment
EBKDY,Financial Services,Banks—Regional
EPRT,Real Estate,REIT—Diversified
ESS,Real Estate,REIT—Residential
ESLOY,Healthcare,Medical Instruments & Supplies
EVBG,Technology,Software—Application
ES,Utilities,Utilities—Regulated Electric
EXC,Utilities,Utilities—Regulated Electric
EXR,Real Estate,REIT—Industrial
FN,Technology,Electronic Components
FANUY,Industrials,Specialty Industrial Machinery
FRCOY,Consumer Cyclical,Apparel Retail
FERG,Industrials,Industrial Distribution
RACE,Consumer Cyclical,Auto Manufacturers
FIS,Technology,Information Technology Services
FBP,Financial Services,Banks—Regional
FNF,Financial Services,Insurance—Specialty
F,Consumer Cyclical,Auto Manufacturers
FSUGY,Basic Materials,Other Industrial Metals & Mining
FCPT,Real Estate,REIT—Retail
FMS,Healthcare,Medical Care Facilities
FUJIY,Industrials,Conglomerates
FJTSY,Technology,Information Technology Services
GASNY,Utilities,Utilities—Regulated Gas
GBERY,Industrials,Building Products & Equipment
GNGBY,Healthcare,Medical Devices
GTY,Real Estate,REIT—Retail
GILD,Healthcare,Drug Manufacturers—General
GVDNY,Basic Materials,Specialty Chemicals
GSK,Healthcare,Drug Manufacturers—General
HAL,Energy,Oil & Gas Equipment & Services
HALO,Healthcare,Biotechnology
HVRRY,Financial Services,Insurance—Reinsurance
HDB,Financial Services,Banks—Regional
PEAK,Real Estate,REIT—Healthcare Facilities
HEI,Industrials,Aerospace & Defense
HDELY,Basic Materials,Building Materials
HEINY,Consumer Defensive,Beverages—Brewers
HENOY,Consumer Defensive,Household & Personal Products
HESAY,Consumer Cyclical,Luxury Goods
HXGBY,Technology,Scientific & Technical Instruments
HTHIY,Industrials,Conglomerates
HCMLY,Basic Materials,Building Materials
HMC,Consumer Cyclical,Auto Manufacturers
HKXCY,Financial Services,Financial Data & Stock Exchanges
HST,Real Estate,REIT—Hotel & Motel
HOCPY,Healthcare,Medical Instruments & Supplies
HSBC,Financial Services,Banks—Diversified
HSQVY,Industrials,Tools & Accessories
IBDRY,Utilities,Utilities—Diversified
ICHR,Technology,Semiconductor Equipment & Materials
ICL,Basic Materials,Agricultural Inputs
IMBBY,Consumer Defensive,Tobacco
IRT,Real Estate,REIT—Residential
IDEXY,Consumer Cyclical,Apparel Retail
IFJPY,Communication Services,Publishing
ING,Financial Services,Banks—Diversified
IIPR,Real Estate,REIT—Industrial
PODD,Healthcare,Medical Devices
IHG,Consumer Cyclical,Lodging
ISNPY,Financial Services,Banks—Regional
INVH,Real Estate,REIT—Residential
IRM,Real Estate,REIT—Specialty
ISUZY,Consumer Cyclical,Auto Manufacturers
ITTOY,Technology,Information Technology Services
JSAIY,Consumer Defensive,Grocery Stores
JHX,Basic Materials,Building Materials
JAPAY,Consumer Defensive,Tobacco
JAZZ,Healthcare,Biotechnology
JBGS,Real Estate,REIT—Office
JRONY,Consumer Defensive,Food Distribution
JTKWY,Consumer Cyclical,Internet Retail
KBCSY,Financial Services,Banks—Regional
KDDIY,Communication Services,Telecom Services
PPRUY,Consumer Cyclical,Luxury Goods
KRYAY,Consumer Defensive,Packaged Foods
KDP,Consumer Defensive,Beverages—Non-Alcoholic
KRC,Real Estate,REIT—Office
KIM,Real Estate,REIT—Retail
KGFHY,Consumer Cyclical,Home Improvement Retail
KGSPY,Industrials,Building Products & Equipment
KNBWY,Consumer Defensive,Beverages—Brewers
KRG,Real Estate,REIT—Retail
KNRRY,Consumer Cyclical,Auto Parts
KMTUY,Industrials,Farm & Heavy Construction Machinery
ADRNY,Consumer Defensive,Grocery Stores
PHG,Healthcare,Medical Devices
KSRYY,Consumer Defensive,Household & Personal Products
KR,Consumer Defensive,Grocery Stores
KHNGY,Industrials,Integrated Freight & Logistics
KLIC,Technology,Semiconductor Equipment & Materials
LHX,Industrials,Aerospace & Defense
AIQUY,Basic Materials,Specialty Chemicals
LSRCY,Technology,Semiconductor Equipment & Materials
LGRDY,Industrials,Electrical Equipment & Parts
JSGRY,Industrials,Building Products & Equipment
LYG,Financial Services,Banks—Regional
LMT,Industrials,Aerospace & Defense
LOGI,Technology,Computer Hardware
LZAGY,Healthcare,Diagnostics & Research
LRLCY,Consumer Defensive,Household & Personal Products
LCID,Consumer Cyclical,Auto Manufacturers
LUMN,Communication Services,Telecom Services
LVMHF,Consumer Cyclical,Luxury Goods
MTB,Financial Services,Banks—Regional
MTHRY,Healthcare,Health Information Services
MQBKY,Financial Services,Capital Markets
MKTAY,Industrials,Tools & Accessories
MKTX,Financial Services,Capital Markets
MZDAY,Consumer Cyclical,Auto Manufacturers
MDIBY,Financial Services,Banks—Regional
MBGYY,Consumer Cyclical,Auto Manufacturers
MKKGY,Healthcare,Drug Manufacturers—Specialty & Generic
MAA,Real Estate,REIT—Residential
MSSMY,Industrials,Tools & Accessories
MIELY,Industrials,Electrical Equipment & Parts
MUFG,Financial Services,Banks—Diversified
MTSFY,Real Estate,Real Estate—Diversified
MSLOY,Industrials,Marine Shipping
MFG,Financial Services,Banks—Regional
MRNA,Healthcare,Biotechnology
MOH,Healthcare,Healthcare Plans
MOS,Basic Materials,Agricultural Inputs
MHGVY,Consumer Defensive,Farm Products
MSADY,Financial Services,Insurance—Property & Casualty
MTUAY,Industrials,Aerospace & Defense
MURGY,Financial Services,Insurance—Reinsurance
MRAAY,Technology,Electronic Components
NCBDY,Consumer Cyclical,Leisure
NABZY,Financial Services,Banks—Diversified
NFG,Energy,Oil & Gas Integrated
NGG,Utilities,Utilities—Regulated Electric
NSA,Real Estate,REIT—Industrial
NWG,Financial Services,Banks—Regional
NSRGY,Consumer Defensive,Packaged Foods
NTES,Communication Services,Electronic Gaming & Multimedia
NCMGY,Basic Materials,Gold
NEXOY,Communication Services,Electronic Gaming & Multimedia
NXRT,Real Estate,REIT—Residential
NICE,Technology,Software—Application
NJDCY,Industrials,Specialty Industrial Machinery
NINOY,Consumer Cyclical,Leisure
NTDOY,Communication Services,Electronic Gaming & Multimedia
NTTYY,Communication Services,Telecom Services
NSANY,Consumer Cyclical,Auto Manufacturers
NDEKY,Basic Materials,Specialty Chemicals
NNGRY,Financial Services,Insurance—Diversified
NOK,Technology,Communication Equipment
NMR,Financial Services,Capital Markets
NRILY,Technology,Information Technology Services
NRDBY,Financial Services,Banks—Regional
NOC,Industrials,Aerospace & Defense
NVS,Healthcare,Drug Manufacturers—General
NVO,Healthcare,Biotechnology
OCDDY,Consumer Defensive,Grocery Stores
OLPX,Consumer Cyclical,Specialty Retail
OLYMY,Healthcare,Medical Instruments & Supplies
OMRNY,Technology,Electronic Components
OGS,Utilities,Utilities—Regulated Gas
OPHLY,Healthcare,Drug Manufacturers—General
OLCLY,Consumer Cyclical,Leisure
DNNGY,Utilities,Utilities—Renewable
OTSKY,Healthcare,Drug Manufacturers—General
OVCHY,Financial Services,Banks—Regional
PD,Technology,Software—Application
PANDY,Consumer Cyclical,Luxury Goods
PARA,Communication Services,Entertainment
PK,Real Estate,REIT—Hotel & Motel
PYPL,Financial Services,Credit Services
PEB,Real Estate,REIT—Hotel & Motel
PECO,Real Estate,REIT—Retail
PHIN,Consumer Cyclical,Auto Parts
PLTK,Communication Services,Electronic Gaming & Multimedia
PGR,Financial Services,Insurance—Property & Casualty
PROSY,Communication Services,Internet Content & Information
PUK,Financial Services,Insurance—Life
PRYMY,Industrials,Electrical Equipment & Parts
PSA,Real Estate,REIT—Industrial
PUBGY,Communication Services,Advertising Agencies
QABSY,Industrials,Airlines
QBIEY,Financial Services,Insurance—Property & Casualty
QS,Consumer Cyclical,Auto Parts
QDEL,Healthcare,Medical Devices
RANJY,Industrials,Staffing & Employment Services
RBA,Industrials,Specialty Business Services
RWT,Real Estate,REIT—Mortgage
RLAY,Healthcare,Biotechnology
RELX,Industrials,Specialty Business Services
RTO,Industrials,Specialty Business Services
ROIC,Real Estate,REIT—Retail
RNMBY,Industrials,Aerospace & Defense
RIO,Basic Materials,Other Industrial Metals & Mining
RLJ,Real Estate,REIT—Hotel & Motel
RHHBY,Healthcare,Drug Manufacturers—General
KKPNY,Communication Services,Telecom Services
RPT,Real Estate,REIT—Retail
RTX,Industrials,Aerospace & Defense
SAFRY,Industrials,Aerospace & Defense
SALRY,Consumer Defensive,Farm Products
SAXPY,Financial Services,Insurance—Diversified
IOT,Technology,Software—Infrastructure
SDVKY,Industrials,Specialty Industrial Machinery
SNY,Healthcare,Drug Manufacturers—General
SOAGY,Healthcare,Medical Instruments & Supplies
BFS,Real Estate,REIT—Retail
SBAC,Real Estate,REIT—Specialty
SBGSY,Industrials,Specialty Industrial Machinery
SE,Consumer Cyclical,Internet Retail
STX,Technology,Computer Hardware
SKLTY,Communication Services,Internet Content & Information
SKHSY,Consumer Cyclical,Residential Construction
SVNDY,Consumer Defensive,Grocery Stores
SGSOY,Industrials,Consulting Services
SMNNY,Consumer Cyclical,Leisure
SHECY,Basic Materials,Chemicals
SGIOY,Healthcare,Drug Manufacturers—Specialty & Generic
SSDOY,Consumer Defensive,Household & Personal Products
SIEGY,Industrials,Specialty Industrial Machinery
SMNEY,Industrials,Specialty Industrial Machinery
SMMNY,Healthcare,Medical Devices
SXYAY,Basic Materials,Specialty Chemicals
SBGI,Communication Services,Entertainment
SINGY,Industrials,Airlines
SPXCY,Financial Services,Financial Data & Stock Exchanges
SKFRY,Industrials,Tools & Accessories
SLG,Real Estate,REIT—Office
SGH,Technology,Semiconductors
SMCAY,Industrials,Specialty Industrial Machinery
SNN,Healthcare,Medical Devices
SMFKY,Consumer Cyclical,Packaging & Containers
SCGLY,Financial Services,Banks—Regional
SOBKY,Communication Services,Telecom Services
SFTBY,Communication Services,Telecom Services
SKHHY,Healthcare,Diagnostics & Research
SONVY,Healthcare,Medical Devices
SONY,Technology,Consumer Electronics
SPKKY,Communication Services,Telecom Services
SR,Utilities,Utilities—Regulated Gas
SSEZY,Utilities,Utilities—Diversified
STT,Financial Services,Asset Management
STLA,Consumer Cyclical,Auto Manufacturers
STM,Technology,Semiconductors
SOMMY,Basic Materials,Chemicals
SMTOY,Consumer Cyclical,Auto Parts
SMFG,Financial Services,Banks—Diversified
SUTNY,Financial Services,Banks—Regional
INN,Real Estate,REIT—Hotel & Motel
SUHJY,Real Estate,Real Estate—Development
SHO,Real Estate,REIT—Hotel & Motel
STBFY,Consumer Defensive,Beverages—Brewers
SZKMY,Consumer Cyclical,Auto Manufacturers
SVNLY,Financial Services,Banks—Diversified
SWDBY,Financial Services,Banks—Regional
SWRAY,Industrials,Conglomerates
SSREY,Financial Services,Insurance—Reinsurance
SCMWY,Communication Services,Telecom Services
SYIEY,Basic Materials,Specialty Chemicals
SYY,Consumer Defensive,Food Distribution
SSMXY,Healthcare,Medical Instruments & Supplies
TSM,Technology,Semiconductors
TAK,Healthcare,Drug Manufacturers—Specialty & Generic
TNDM,Healthcare,Medical Devices
SKT,Real Estate,REIT—Retail
TTDKY,Technology,Electronic Components
TEL,Technology,Electronic Components
TTNDY,Industrials,Tools & Accessories
TFX,Healthcare,Medical Instruments & Supplies
